,ref_de,orig_en,trans_de
0,"2 separate Toiletten 1 ebenerdig , 1 auf der Etage.","Pool : secured with alarm, 12 x 6m. Depth: 1.4 to 2.5m with steps, situated approx.","Pool: gesichert mit Alarm, 12 x 6 m. Tiefe: 1,4 bis 2,5 m mit Stufen, befindet sich ca."
1,"Dieser Vorschlag für eine Vereinbarung ist unserer Meinung nach untragbar, und wir fordern den Rat auf, ihn abzulehnen.",We consider this draft agreement to be unacceptable and we call on the Council to reject it.,"Wir halten diesen Vertragsentwurf für inakzeptabel und fordern den Rat auf, ihn abzulehnen."
2,"Niemand ist speziell gemeint, aber vielleicht erkennt ihr euch wieder?","We're pointing at no one in particular, but perhaps you recognise yourselves?","Wir zeigen auf niemanden im Besonderen, aber erkennt ihr euch vielleicht wieder?"
3,"Der Bericht ist ein neuerlicher Beweis für die Kompetenz, die unsere junge Kollegin sich in dieser kurzen Zeit im Ausschuss für Wirtschaft und Währung angeeignet hat, und für den Fleiß, der sich in der Qualität ihrer Arbeit niederschlägt.","The report constitutes yet further evidence of the competence for which our young colleague has, in a short time, acquired a reputation in the Committee on Economic and Monetary Affairs, as also for the industriousness shown by the quality of her work.","Der Bericht stellt einen weiteren Beweis für die Kompetenz dar, für die sich unsere junge Kollegin in kurzer Zeit einen Ruf im Ausschuss für Wirtschaft und Währung erworben hat, ebenso wie für den Fleiß, der sich in der Qualität ihrer Arbeit zeigt."
4,"Geschützte Meeresgebiete sollten nur eingerichtet werden, wenn sie direkt zur Erzielung eines guten Umweltzustands beitragen.",Protected marine areas should be created only when they can contribute directly towards achieving a 'good environmental status'.,"Geschützte Meeresgebiete sollten nur dann eingerichtet werden, wenn sie direkt zur Erreichung eines „guten Umweltzustands“ beitragen können."
5,Wir wollen Serbien auf dem Weg in die Europäische Union begleiten.,We want to accompany Serbia on the road to joining the European Union.,Wir möchten Serbien auf dem Weg zum Beitritt zur Europäischen Union begleiten.
6,Auslassgletscher fliessen bis zum Meer (Aavatsmarkbreen in Westspitzbergen).,"This outlet glacier is Aavatsmarkbreen in western Spitsbergen, Svalbard.","Dieser Auslassgletscher ist der Aavatsmarkbreen im westlichen Spitsbergen, Svalbard."
7,"Die Nordic Battle Group steht nicht zur Verfügung, wie ich jetzt gehört habe, und in der UN-Resolution wird eine offene Zusammenarbeit mit dem Militär und der Polizei des Tschad formuliert.","I have now heard that the Nordic Battle Group is not available, and the UN resolution calls for open cooperation with the military and the police in Chad.","Ich habe nun gehört, dass die Nordic Battle Group nicht verfügbar ist, und die UN-Resolution fordert offene Zusammenarbeit mit dem Militär und der Polizei im Tschad."
8,   – Herr Präsident! Dieser Bericht ist meines Erachtens ein bescheidenes Zeichen für eine positive Entwicklung.,"   – Mr President, this report is, in my view, a modest sign of a favourable development.","– Herr Präsident, dieser Bericht ist meiner Meinung nach ein bescheidenes Zeichen einer positiven Entwicklung."
9,"Ferner hindert der Vorschlag die Mitgliedstaaten nicht daran, geeignete Regelungen bezüglich der Qualität, Verfügbarkeit und Erbringung von Leistungen der Daseinsvorsorge oder andere Regelungen zum Schutz von Verbraucher- oder Nutzerrechten zu erlassen und umzusetzen.","Furthermore, it does not affect Member States' ability to maintain appropriate regulations concerning the quality, availability and performance of services of general interest, or other regulations ensuring consumer and user rights.","Des Weiteren wird die Fähigkeit der Mitgliedstaaten, angemessene Vorschriften bezüglich der Qualität, Verfügbarkeit und Leistung von Dienstleistungen von allgemeinem Interesse aufrechtzuerhalten, oder andere Regelungen, die die Rechte von Verbrauchern und Nutzern gewährleisten, nicht beeinträchtigt."
